"","cluster_id","cougar_id","Season","Year","form_date","inv_date","carcass_found","species","sex","age","marrow_color","marrow_texture","body_cond","deer","pig","forest_dist","grass_dist","shrub_dist","riparian_dist","NDVI"
"3","SF9_C01","SF09","Summer",2021,2021-04-27,2021-05-03,"Y","deer","F","adult",2,2,4,4.44595003128052,0.39392676949501,4.79579067230225,6.1025185585022,0,4.11087369918823,0.564129650592804
"4","SF9_C03","SF09","Summer",2021,2021-05-01,2021-05-05,"Y","deer","UNK","neonate",0,0,0,2.96380472183228,1.11312890052795,0,5.62613201141357,3.43398714065552,5.93197727203369,0.518045246601105
"5","SF1_C01","SF01","Summer",2021,2021-05-02,2021-05-04,"Y","deer","F","adult",1,2,3,3.66671705245972,0.562965869903564,0,5.36191177368164,4.45263433456421,4.90648937225342,0.448889285326004
"7","SM6_C02","SM06","Summer",2021,2021-05-03,2021-05-07,"Y","deer","UNK","neonate",0,0,0,7.958420753479,1.90891325473785,3.43398714065552,3.43398714065552,0,5.96870756149292,0.391066402196884
"8","SF9_C05","SF09","Summer",2021,2021-05-04,2021-05-06,"Y","deer","F","adult",1,1,2,4.02328824996948,0.87197071313858,5.26317596435547,4.11087369918823,0,6.03751659393311,0.455568373203278
"10","SF9_C06","SF09","Summer",2021,2021-05-10,2021-05-11,"Y","deer","F","adult",2,2,4,8.83174228668213,2.28105783462524,3.43398714065552,4.11087369918823,0,6.17781257629395,0.395816802978516
"11","SF10_C01","SF10","Summer",2021,2021-05-14,2021-05-15,"Y","deer","UNK","neonate",1,1,2,3.79040694236755,1.18996071815491,3.43398714065552,3.43398714065552,0,5.80622100830078,0.347907334566116
"12","SF9_C07","SF09","Summer",2021,2021-05-14,2021-05-16,"Y","deer","UNK","neonate",1,1,2,3.98358416557312,1.13540196418762,0,5.46089315414429,3.43398714065552,5.17007780075073,0.446043848991394
"13","SF10_C03","SF10","Summer",2021,2021-05-17,2021-05-18,"Y","deer","UNK","neonate",0,0,0,3.23774909973145,0.477723896503448,3.43398714065552,4.51085948944092,0,7.06692552566528,0.404728949069977
"14","SF9_C08","SF09","Summer",2021,2021-05-18,2021-05-19,"Y","deer","UNK","neonate",0,0,0,14.8154668807983,3.9833037853241,5.35185813903809,3.43398714065552,0,3.43398714065552,0.386189490556717
"15","SF9_C09","SF09","Summer",2021,2021-05-19,2021-05-21,"Y","deer","F","adult",2,2,4,13.4536209106445,4.40477609634399,5.60823154449463,3.43398714065552,5.43578624725342,0,0.374765753746033
"16","SF9_C10","SF09","Summer",2021,2021-05-22,2021-05-23,"Y","deer","UNK","neonate",0,0,0,4.14821100234985,2.03537154197693,3.77106761932373,4.82585620880127,0,6.35832929611206,0.404938966035843
"17","SF1_C06","SF01","Summer",2021,2021-05-22,2021-05-23,"Y","deer","UNK","neonate",0,0,0,2.98939561843872,0.876340329647064,4.11087369918823,0,4.11087369918823,7.42857599258423,0.441102772951126
"18","SF1_C08","SF01","Summer",2021,2021-05-24,2021-05-27,"Y","deer","UNK","neonate",0,0,0,4.5107889175415,0.680328547954559,4.79579067230225,4.22071361541748,0,6.1025185585022,0.384386420249939
"20","SF9_C12","SF09","Summer",2021,2021-05-26,2021-05-29,"Y","deer","UNK","fawn",0,0,0,2.61741399765015,0.320634692907333,4.22071361541748,6.00015735626221,0,6.1114673614502,0.575577080249786
