Sample ID,Species,Tray #,Tray ID, Weight (mg), d15N ,d13C,%N (wt.),%C (wt.),C:N,ClusterID,Season,Year
49-SUSC,SUSC,1,G12,0.609,7.8,-25,14.8,43.8,3,FA01,Winter,2021
51-SUSC,SUSC,1,E4,0.557,4.3,-24.2,15,45.6,3,FA08,Winter,2021
52-SUSC,SUSC,1,G2,0.539,7.3,-22.8,14.8,45,3,FS03,Winter,2021
50-SUSC,SUSC,1,E3,0.521,6.6,-25,15.3,46,3,MA01,Winter,2021
66-SUSC,SUSC,1,E9,0.584,5.7,-23.3,15.2,45.9,3,MA02,Winter,2021
63-SUSC,SUSC,1,E8,0.585,4.1,-23.1,15.6,46.7,3,MJ07,Winter,2021
60-SUSC,SUSC,1,F11,0.61,6.3,-24.2,14.6,44.1,3,SF1-W21-C01,Winter,2021
72-ODHE,ODHE,1,F10,0.484,1.8,-24.4,15.7,48.2,3.1,SF1-W21-C04,Winter,2021
82-ODHE,ODHE,1,H2,0.31,5.9,-25.3,15.4,46.9,3,SF9-C09,Summer,2021
81-ODHE,ODHE,1,G7,0.587,4.9,-25.2,15.3,46.8,3.1,SF9-C14,Summer,2021
78-ODHE,ODHE,1,F6,0.515,5.7,-25.4,15.1,45.8,3,SF9-C16,Summer,2021
67-ODHE,ODHE,1,G8,0.565,3,-24.3,15.7,46.5,3,SF9-C18,Summer,2021
68-ODHE,ODHE,1,F2,0.485,8.2,-25,15.6,47.1,3,SF9-C24,Summer,2021
80-ODHE,ODHE,1,E11,0.317,6.4,-25.8,14.5,45.3,3.1,SF9-C33,Summer,2021
79-ODHE,ODHE,1,D11,0.617,5.5,-25,14.7,45.1,3.1,SF9-C41,Summer,2021
76-ODHE,ODHE,1,F7,0.516,2.4,-25.9,15.1,46.1,3,SF9-S22-C04,Summer,2022
85-ODHE,ODHE,1,G6,0.48,2.9,-25.6,13.4,41.8,3.1,SF9-S22-C09,Summer,2022
86-ODHE,ODHE,1,F9,0.554,2.5,-25.5,14.9,45.4,3,SF9-S22-C12,Summer,2022
84-ODHE,ODHE,1,G3,0.325,1.8,-26.4,14.9,46.2,3.1,SF9-S22-C23,Summer,2022
02-ODHE,ODHE,1,B10,0.516,3.5,-26.5,15.3,47.1,3.1,SF9-S23-C15,Summer,2023
23-ODHE,ODHE,1,D6,0.443,4.6,-26.3,15.2,47.1,3.1,SF9-S23-C18,Summer,2023
05-ODHE,ODHE,1,C4,0.523,5.9,-26.7,15.4,46.7,3,SF9-S23-C20,Summer,2023
03-ODHE,ODHE,1,C1,0.556,5.8,-26.7,15.1,47.2,3.1,SF9-S23-C30,Summer,2023
04-ODHE,ODHE,1,C2,0.556,3.2,-26.1,14.2,44.9,3.2,SF9-S23-C34,Summer,2023
01-ODHE,ODHE,1,B9,0.619,5.7,-26.9,15,47,3.1,SF9-S23-C43,Summer,2023
06-ODHE,ODHE,1,C8,0.571,5.3,-25.8,14.7,44.5,3,SF9-S23-C43,Summer,2023
73-ODHE,ODHE,1,G4,0.528,3.4,-24,14.5,44.6,3.1,SF9-W21-C01,Winter,2021
71-ODHE,ODHE,1,E12,0.513,2.3,-23.9,15.2,46.8,3.1,SF9-W21-C03,Winter,2021
70-ODHE,ODHE,1,G11,0.511,5.6,-24.6,15.7,47.3,3,SF9-W21-C04,Winter,2021
