cluster_id,cougar_id,type,collar_serial,n_points,radius,duration_h,form_date,inv_date,personnel,habitat,habitat2,canopy,carcass_found,species,how_id,sex,how_sex,age,how_age,est_age,cached,n_prey,n_piles,condition,parts,bite_wounds,hemorrhaging,fed_on,per_rem,feeding_use,marrow,drag_trail,length,kill_site,evidence_kill_site,consistent_date,confidence_cougar_kill,other_sign,scavenged,scavenged_by,kill_2,species,cached,notes,cache_photo,carcass_photo,bite_photo,hem_photo,drag_photo,kill_photo,coug_sign_photo,scav_sign_photo
SF1_A3,SF01,April,44748,5,62,24,4/3/2021,7/13/2021,"LL, MP",grass,,open,Y,deer,jaw and fur,UNK,,fawn,teeth,,none,1,1,dispersed,"fur, 1 side of lower jaw",Not vis,Not vis,Y,<25,completely consumed,NA,N,,,,Y,probable,Scat,Likely,coyote,N,,,,N,Y,N,N,N,N,N,Y
SF6_A1,SM06,April,44747,35,172,108,4/3/2021,7/9/2021,"LL, MP",deciduous,drainage,closed,Y,pig,head,UNK,,fawn,teeth,6-12 mo,previously,1,3,dismantled,"skull, jaw, 1 leg and hide. Pelvis, long bone fragment, hair. 2 legs and hide fragment. Deer fur found with pelvis",Not vis,Not vis,Y,<25,completely consumed,NA,N,,N,,Y,probable,None,N,,N,,,"marrow old. Cat fur found, clump of deer fur found along side of pig parts",Y,Y,N,N,N,N,N,N
SF1_A5,SF01,April,44748,9,56,24,4/9/2021,7/14/2021,LL,con/dec,chaparral,open,Y,pig,skull,UNK,,yearling,teeth,12-18 mo,none,1,1,dispersed,skull,Not vis,Not vis,Y,<25,completely consumed,NA,N,,N,,Y,probable,"feathers, coyote present",Likely,"birds, coyote",N,,,"All parts missing except for skull, but age was appropriate for time of kill.",N,Y,N,N,N,N,N,Y
SF9_A6,SF09,April,44744,4,36,9,4/13/2021,7/9/2021,"LL, MP",deciduous,,medium,Y,coyote,head,UNK,,adult,teeth,,none,1,2,dispersed,"fur and long bones. Skull, partial spine, partial hide and 1 foot",Not vis,left jaw,Y,<25,completely consumed,NA,N,,N,,Y,probable,Inverted skin and missing pieces,Likely,bear,N,,,"Parts missing and inverted skin suggest possible bear scavenge. Also near the road, may have been injured by vehicle strike.",N,Y,N,Y,N,N,N,N
SF1_A8,SF01,April,44748,22,113,66,4/22/2021,7/9/2021,"LL, MP",chaparral,scrub oak,medium,Y,deer,hooves,F,head,yearling,size,,none,1,1,dismantled,"4 legs, partial ribs and spine, pelvis, scaula, partial skull, rumen contents",Not vis,Not vis,Y,<25,completely consumed. Ribs and spinal processes chewed,NA,N,,N,,Y,probable,feathers,Likely,birds,N,,,"No jaw found, marrow old, scat collected, vulture feather found",N,Y,N,N,N,N,Y,Y
SF9_A9,SF09,April,44744,4,29,9,4/22/2021,7/9/2021,"LL, MP",con/dec,grass,open,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No evidence of cougar kill,N,N,N,N,N,N,N,N
SF9_C01,SF09,current,44744,7,64,57,4/27/2021,5/3/2021,MP,con/dec,,medium,Y,deer,"hair, teeth",F,head,adult,teeth,3,previously,1,1,dismantled,all,N,Y,Y,<25,all consumed,white waxy,N,,N,,Y,positive,None,N,,Y,deer_neonate,N,"neonate, found two lower jaw bones",Y,Y,N,N,N,N,N,N
SF9_C02,SF09,current,44744,7,121,18,4/30/2021,5/5/2021,MP,con/dec,drainage,closed,N,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,found a cougar scat uncached and some dove feathers buried in the duff,N,N,N,N,N,N,Y,N
SF9_C03,SF09,current,44744,7,178,18,5/1/2021,5/5/2021,MP,con/dec,manzanita,closed,Y,deer,head,UNK,,neonate,teeth,,none,1,1,dismantled,"2 legs, skull, jaw",N,N,Y,<25,all consumed,red gelatinous,N,,N,,Y,positive,None,N,,N,,,carcass found 5m from a game trail w/ distrubance where kill may have occurred,Y,Y,N,N,N,N,N,N
SF1_C01,SF01,current,44748,17,83,60,5/2/2021,5/4/2021,MP,con/dec,,medium,Y,deer,head,F,head,adult,teeth,4,currently,1,1,intact,all,Y,Y,Y,25-50,mostly fed,pink/red waxy,N,,N,,Y,positive,None,N,,N,,,,Y,Y,Y,Y,N,N,N,N
SF9_C04,SF09,current,44744,4,74,9,5/2/2021,5/9/2021,MP,chaparral,,closed,Y,deer,hair,UNK,,UNK,,,none,1,0,dispersed,hair,Not vis,Not vis,,<25,only found hair,,N,,N,,Y,probable,None,N,,N,,,"only found sparse deer hairs neer main cluster. With short duration, possible fawn predation ",N,N,N,N,N,N,N,N
SM6_C01,SM06,current,44747,9,42,72,5/2/2021,5/6/2021,MP,oak wood,,closed,Y,pig,head,UNK,,fawn,teeth,6-12 mo,previously,1,1,intact,"head, hide, and legs. Gut contents and cougar scat cached in second cache",Y,Not vis,Y,<25,all consumed,pink/red soft,N,,N,,Y,positive,Vulture present,Y,vulture,N,,,There were holes in the hide but no hemorrhaging associated with them. But back of neck hide was not present,Y,Y,Y,N,N,N,Y,N
SM6_C02,SM06,current,44747,6,53,15,5/3/2021,5/7/2021,MP,oak wood,chaparral,closed,Y,deer,hooves,UNK,,neonate,hooves,,none,1,1,dispersed,3 legs,Not vis,Not vis,Y,<25,all consumed,red gelatinous,N,,N,,Y,positive,None,N,,N,,,found cougar scrape ~40m from carcass,N,Y,N,N,N,N,Y,N
SF9_C3.1,SF09,current,44744,3,2,6,5/3/2021,6/15/2021,MP,chaparral,,closed,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only searched for 1 hr because cluster was so tight and vegetation so thick. Found 1 cougar scat,N,N,N,N,N,N,Y,N
SF9_C05,SF09,current,44744,16,54,54,5/4/2021,5/6/2021,MP,chaparral,,closed,Y,deer,head,F,head,adult,teeth,3,currently,1,6,intact,all,Not vis,Not vis,Y,25-50,body cavity and back haunches consumed,pink/red soft,N,,N,,Y,positive,None,N,,N,,,"carcass all together, other 5 caches contains scats and regurgitated meat. Did not set camera because unable to in dense shrubs",Y,Y,N,N,N,N,Y,N
SF1_C03,SF01,current,44748,6,73,15,5/6/2021,5/7/2021,MP,chaparral,oak wood,closed,Y,mallard,feathers,F,on nest,adult,on nest,,none,1,0,dispersed,feathers,Not vis,Not vis,Y,<25,all consumed,,N,,Y,nest,Y,probabale,None,N,,N,,,found many feathers and remnants of mallard nest. Likely predated hen on the nest and any eggs/ducklings present.,N,Y,N,N,N,Y,N,N
